Years,Months,Age (months),Grade,Driver License,Leave Campus for Lunch,Perception About Lunches,Predicted,Residual,,,,,,,,,,,,,Min,Q1,Med,Q3,Max,IQR,Mean,SD,Range
15,11,191,10,0,5,10,1.6306,3.3694,,,,,,,,,,,,,,,,,,,,,
15,4,184,10,0,0,10,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,8,188,10,0,1,7,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
16,3,195,10,0,0,7,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,7,187,10,0,4,10,1.6306,2.3694,,,,,,,,,,,,,,,,,,,,,
15,8,188,10,0,0,4,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
16,4,196,10,4,3,9,2.049,0.951,,,,,,,,,,,,,,,,,,,,,
15,10,190,10,0,5,10,1.6306,3.3694,,,,,,,,,,,,,,,,,,,,,
15,3,183,10,0,0,9,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,6,186,10,0,4,10,1.6306,2.3694,,,,,,,,,,,,,,,,,,,,,
16,1,193,10,0,2,10,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
16,1,193,10,1,0,6,1.7352,-1.7352,,,,,,,,,,,,,,,,,,,,,
15,9,189,10,0,2,10,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
15,8,188,10,0,0,6,1.6306,-1.6306,,,,,,,,,,,,,,,,,,,,,
15,9,189,10,0,3,8,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
15,1,181,10,0,2,8,1.6306,0.3694,,,,,,,,,,,,,,,,,,,,,
15,10,190,10,0,4,10,1.6306,2.3694,,,,,,,,,,,,,,,,,,,,,
15,6,186,10,0,1,3,1.6306,-0.6306,,,,,,,,,,,,,,,,,,,,,
16,0,192,10,0,3,10,1.6306,1.3694,,,,,,,,,,,,,,,,,,,,,
